R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Vicente Luque,Bryan Barberena,429.53125,19,0,1,0,2,5,3,182.88,182.88,170,316.3476563,15,0,0,1,4,7,2,180.34,190.5,170,29,27,0,1,1,2
Demian Maia,Lyman Good,400.25,6,0,1,0,1,2,1,182.88,187.96,170,1249.496655,78,2,5,0,7,19,9,185.42,182.88,170,33,41,1,0,-1,2
Thiago Alves,Max Griffin,837,13,0,0,1,1,2,3,180.34,193.04,170,794.621047,58,1,0,1,7,14,10,175.26,177.8,170,33,35,0,0,0,2
Belal Muhammad,Geoff Neal,275.5,3,0,2,0,2,2,0,180.34,190.5,170,873.703125,19,0,0,1,4,5,2,180.34,182.88,170,28,30,0,1,1,0
Carlos Condit,Michael Chiesa,367.8378906,22,1,2,0,3,7,4,185.42,190.5,170,622.2967529,43,3,0,1,5,7,8,187.96,190.5,170,31,34,0,1,1,0
Curtis Millender,Siyar Bahadurzada,544.5625,14,0,1,0,3,4,2,180.34,185.42,170,728.5,5,0,2,0,2,2,0,187.96,193.04,170,34,31,0,0,0,2
Alex Oliveira,Gunnar Nelson,282.3476563,21,0,4,0,4,7,3,180.34,182.88,170,288.7336426,28,0,0,1,3,9,4,180.34,193.04,170,30,30,0,2,2,0
Chad Laprise,Dhiego Lima,585.28125,11,2,0,1,1,1,5,187.96,190.5,170,327.109375,19,1,3,0,3,6,3,177.8,180.34,170,29,32,0,0,0,0
Yushin Okami,Aleksei Kunchenko,900,3,0,1,0,1,1,0,172.72,177.8,170,600.3717155,52,1,4,0,4,14,6,187.96,190.5,170,34,37,1,0,-1,0
Jake Matthews,Anthony Rocco Martin,771.3710938,26,0,0,2,3,6,4,182.88,185.42,170,505.4570313,22,0,2,0,3,7,3,180.34,185.42,170,28,24,0,0,0,0
Keita Nakamura,Salim Touahri,900,3,0,0,1,0,0,1,177.8,182.88,170,878.640625,26,0,0,3,1,3,6,180.34,185.42,170,29,34,1,0,-1,2
